track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_genre
2HXLC1alUzezTMoBM0Sxkb,42,156253,0.816,0.643,1,-8.134,1,0.244,0.021,0.534,0.113,0.592,104.022,4,0
0JkcxWpvH30Nbtt5kdfjI6,1,250026,0.626,0.4,7,-6.689,1,0.0251,0.798,0,0.151,0.401,97.565,3,1
3SCYKwSFwlSe5xEvVlcP1W,1,132493,0.775,0.562,4,-6.041,0,0.0299,0.468,0,0.174,0.77,121.034,4,1
4T9NkV23VehFveulDtI7KC,0,163360,0.69,0.373,8,-5.566,1,0.0286,0.618,0,0.128,0.473,124.082,3,1
6eWeTcpAu5F68IQf2xWTU3,3,212560,0.558,0.54,3,-7.2,1,0.0305,0.501,0,0.252,0.654,133.774,4,1
7iICQYCePAFph6eUIgBbOn,0,124240,0.745,0.598,10,-6.053,1,0.0975,0.129,0,0.678,0.789,148.906,4,1
3yJjRARrm2dE2tPuzPL2Z1,0,211920,0.787,0.858,10,-4.152,0,0.0373,0.405,2.95e-6,0.133,0.814,105,4,0
4kUVq3jrZsnfeOHC8T7Xqo,0,173546,0.609,0.575,1,-4.789,1,0.0387,0.723,0,0.176,0.662,113.958,4,1
7rVw4gyhclOgTIrFCtI3ZG,0,191986,0.571,0.711,8,-4.774,1,0.0423,0.307,0,0.203,0.571,143.924,4,1
3GCVKDkxKwMHHHOurpI6qR,0,245200,0.633,0.442,7,-8.463,1,0.0296,0.036,7.57e-6,0.0672,0.241,121.617,4,1
0fzmhN3dop77DGQmcsi5MJ,42,203882,0.528,0.795,1,-5.093,1,0.039,0.00458,2.64e-4,0.125,0.539,166.007,4,1
6QXSvO1glNRlpgjElJfxaj,24,310857,0.574,0.905,2,-3.379,1,0.0308,6.18e-5,0.00401,0.0467,0.251,104.984,4,0
0FTc7d89oQ0HpTYLjpPd3p,65,197500,0.175,0.00727,2,-37.244,1,0.0462,0.964,0.879,0.107,0.101,69.631,3,0
4aTrZNV8WRiOUfWZrsoXvg,25,280293,0.27,0.799,0,-5.395,1,0.0449,8.8e-4,0.0818,0.143,0.458,158.122,4,0
1lhL0mBtkFnCfyCzXf86uk,0,275099,0.335,0.43,5,-5.364,1,0.0322,0.846,0,0.126,0.379,78.259,5,1
2o2UZk7OFL6QeMUOZW7RnH,0,196253,0.544,0.572,0,-6.205,1,0.0319,0.118,0,0.234,0.52,169.885,4,1
3Brvbk03WC7yu1LgKwWG3L,41,187982,0.494,0.966,5,-5.578,1,0.0724,0.0158,0,0.178,0.566,172.281,4,1
5U0t4SMp344ER0F4jYb6xI,0,288333,0.516,0.775,6,-6.409,1,0.0412,0.396,0.00129,0.21,0.858,177.401,4,1
